name,BIKE BOULEVARD,BIKE LANE,CONTRAFLOW,SHARED BUS BIKE,SHARROW,SIDEPATH,SIGNED ROUTE,<NA>
ALBEMARLE ST,NA,NA,NA,NA,109.914172745,NA,234.91900309,NA
ALICEANNA ST,NA,NA,NA,NA,250.71030352842106,NA,NA,NA
ARGONNE DR,NA,1312.60837294,NA,NA,NA,NA,NA,NA
ART MUSEUM DR,NA,NA,NA,NA,NA,NA,277.65798712000003,NA
AUCHENTOROLY TERR,NA,1341.82907995,NA,NA,NA,NA,NA,NA
BANK ST,NA,165.7379772811111,NA,NA,NA,NA,146.8146408035484,NA
BATTERY AVE,NA,NA,NA,NA,NA,NA,155.854911215,NA
BEAUMONT AVE,NA,NA,NA,NA,NA,NA,389.62331852875,NA
BELAIR ROAD,NA,NA,NA,NA,190.013294841,NA,NA,NA
BOSTON ST,NA,195.1282716925,NA,NA,NA,NA,NA,25.72127253
CHARLCOTE ROAD,NA,NA,NA,NA,NA,NA,242.17639749666665,NA
CHERRY HILL ROAD,NA,290.426370232,NA,NA,NA,NA,NA,NA
CHERRYLAND ROAD,NA,NA,NA,NA,271.93212539,NA,NA,NA
CHESTNUT AVE,NA,NA,NA,NA,219.76022793142857,NA,NA,NA
CLARKS LANE,NA,NA,NA,NA,421.87266775,NA,358.4853076333333,NA
CORSE AVE,NA,NA,NA,NA,812.96709993,NA,NA,NA
CROSS COUNTRY BLVD,NA,1321.272096385,NA,NA,299.2273387,NA,747.06654575,NA
CURRAN DR,NA,894.2082667100001,NA,NA,NA,NA,NA,NA
DOLFIELD AVE,NA,NA,NA,NA,261.9924367016667,NA,NA,NA
DRUID PARK LAKE DR,NA,688.70665333,NA,NA,NA,NA,NA,NA
E 33RD ST,NA,162.026140478,NA,NA,306.93654613125,NA,54.1407323825,NA
E 34TH ST,NA,NA,NA,NA,NA,NA,49.93183352,NA
E BALTIMORE ST,NA,77.27323272,NA,NA,211.4231352451724,NA,NA,NA
E CLEMENT ST,NA,NA,NA,NA,NA,NA,127.73609273857143,NA
E COLD SPRING LANE,NA,NA,NA,NA,NA,NA,18.47702219,NA
E GITTINGS ST,NA,NA,NA,NA,NA,NA,137.482961211,NA
E LANVALE ST,NA,NA,119.09889731333334,NA,151.86621911333333,NA,NA,NA
E LOMBARD ST,NA,NA,NA,179.62357788625,NA,NA,NA,NA
E MONUMENT ST,NA,259.06351533142856,NA,NA,344.4839480625,NA,NA,NA
E MOUNT ROYAL AVE,NA,NA,NA,NA,292.382043846,NA,NA,NA
E PRATT ST,NA,NA,NA,303.020096856,NA,NA,NA,NA
E UNIVERSITY PKWY,NA,NA,NA,NA,NA,NA,250.36932134214285,NA
EASTERN AVE,NA,NA,NA,NA,NA,481.18084436000004,NA,NA
ECHODALE AVE,NA,NA,NA,NA,262.247403256875,NA,NA,NA
EDMONDSON AVE,NA,273.5233114481818,NA,NA,NA,NA,NA,NA
ESSEX ST,NA,NA,NA,NA,120.98265290428571,NA,NA,NA
ETHELBERT AVE,NA,NA,NA,NA,NA,NA,699.88448829,NA
EUTAW PL,NA,NA,NA,NA,NA,NA,NA,288.885093615
FAIRHAVEN AVE,NA,181.15938121705884,NA,NA,NA,NA,NA,NA
FAIT AVE,NA,NA,NA,NA,145.023085405,NA,NA,NA
FALLSWAY,NA,389.00921415,NA,NA,335.304920395,NA,NA,NA
FAWN ST,NA,NA,134.029052515,NA,NA,NA,232.4501817975,NA
FLEET ST,NA,NA,NA,NA,159.99213247,NA,NA,NA
FRANKFORD AVE,NA,336.963873615,NA,NA,267.28847682,NA,NA,NA
FRANKFORD ROAD,NA,158.634079945,NA,NA,NA,NA,NA,NA
FRANKFURST AVE,NA,313.18967684,NA,NA,NA,NA,NA,NA
FREDERICK AVE,NA,265.3133082664912,NA,NA,NA,NA,NA,NA
FREDERICK ROAD,NA,159.50782312,NA,NA,NA,NA,NA,NA
GARRISON BLVD,NA,NA,NA,NA,252.91626647290323,NA,NA,NA
GLEN AVE,NA,NA,NA,NA,328.496106027,NA,NA,NA
GOUGH ST,NA,NA,NA,NA,NA,NA,156.26115663407407,NA
GREENSPRING AVE,NA,309.56647898757575,NA,NA,246.55467712533334,NA,NA,NA
GREENWAY,NA,NA,NA,NA,NA,NA,315.42772010411767,NA
GUILFORD AVE,197.51767714813954,NA,NA,NA,167.955410010625,NA,NA,NA
GUILFORD TERR,147.526319612,NA,NA,NA,NA,NA,NA,NA
GWYNN OAK AVE,NA,343.4097726169231,NA,NA,NA,NA,NA,NA
HAMLIN AVE,NA,NA,NA,NA,124.20009032333334,NA,NA,NA
HILLEN ROAD,NA,NA,NA,NA,NA,NA,65.16350959,NA
HILTON ROAD,NA,294.44745495333336,NA,NA,173.3028124925,NA,NA,NA
HUNTINGDON PATH,NA,NA,NA,NA,NA,0,NA,NA
JACKSON ST,NA,NA,NA,NA,NA,NA,115.556693934,NA
KELLY AVE,NA,678.033293218,NA,NA,NA,NA,NA,NA
KESWICK ROAD,NA,NA,NA,NA,270.5418732828571,NA,NA,NA
LAKE DR,NA,3192.10208614,NA,NA,NA,NA,NA,NA
LAKE MONTEBELLO DR,NA,259.6567246,NA,NA,NA,NA,NA,NA
LANCASTER ST,NA,NA,185.604649945,NA,NA,NA,188.555218874,NA
LEAKIN ST,NA,NA,NA,NA,146.351618505,NA,NA,NA
LIBERTY HEIGHTS AVE,NA,243.54885245333335,NA,NA,NA,NA,NA,NA
LIGHT ST,NA,120.81189324857144,NA,NA,NA,NA,NA,NA
LOCH RAVEN BLVD,NA,NA,NA,NA,197.849161305,NA,67.00418612,NA
MADISON AVE,NA,363.2209408383333,NA,NA,NA,NA,NA,NA
MC CALLUM DR,NA,NA,NA,NA,NA,NA,1387.10258505,NA
MILLBROOK ROAD,NA,NA,NA,NA,NA,NA,552.145782375,NA
MORAVIA PARK DR,NA,426.5628792214286,NA,NA,403.08043734,NA,NA,NA
N BROADWAY,NA,278.5822906072222,NA,NA,249.35581321,NA,NA,NA
N CENTRAL AVE,NA,292.0934966566667,NA,NA,NA,NA,NA,NA
N CHARLES,NA,NA,NA,NA,NA,NA,1132.28251635,NA
N CHARLES ST,NA,NA,NA,NA,NA,NA,207.01018221125,NA
N HIGHLAND AVE,NA,175.194979564,NA,NA,NA,NA,NA,NA
N ROGERS AVE,NA,209.13947765272727,NA,NA,291.49509524,NA,NA,NA
NORTHWOOD DR,NA,NA,NA,NA,NA,NA,154.74947985,NA
NORWOOD ROAD,NA,NA,NA,NA,NA,NA,330.29508254,NA
NOTRE DAME LANE,NA,NA,NA,NA,NA,NA,301.47539537,NA
O'DONNELL ST CUT OFF,NA,336.74550735,NA,NA,NA,NA,NA,NA
PACIFIC ST,NA,NA,NA,NA,16.93555727,NA,NA,NA
PARK HEIGHTS AVE,NA,NA,NA,NA,497.152544529,NA,NA,NA
PENTWOOD ROAD,NA,NA,NA,NA,NA,NA,433.6235173842857,NA
PIMLICO ROAD,NA,146.60176905,NA,NA,173.96616601,NA,NA,NA
POST ROAD,NA,NA,NA,NA,NA,NA,146.9921143269231,NA
POTEE ST,NA,1469.3469354400002,NA,NA,NA,NA,NA,NA
PRESIDENT ST,NA,292.49013035444443,NA,NA,331.62963543,NA,NA,NA
RIVERSIDE AVE,NA,NA,NA,NA,NA,NA,190.007424181,NA
ROLAND AVE,NA,321.74524152842855,NA,NA,296.68252829666665,NA,NA,NA
S BROADWAY,NA,NA,NA,NA,337.4868591157143,NA,NA,NA
S CAROLINE ST,NA,246.17230843454544,NA,NA,NA,NA,NA,NA
S CENTRAL AVE,NA,224.59449889666666,NA,NA,NA,NA,NA,NA
S CONKLING ST,NA,202.00638791818182,NA,NA,NA,NA,NA,NA
S EXETER ST,NA,NA,NA,NA,NA,NA,80.06311277,NA
S HANOVER,NA,2536.73077513,NA,NA,NA,NA,NA,NA
S HANOVER ST,NA,503.4757794916667,NA,NA,NA,NA,NA,NA
S HAVEN ST,NA,NA,NA,NA,NA,344.44056692,NA,NA
S HIGHLAND AVE,NA,179.680397559,NA,NA,NA,NA,NA,NA
S MONTFORD AVE,NA,NA,NA,NA,47.40281092,NA,NA,NA
S PRESIDENT ST,NA,396.04793161333333,NA,NA,NA,NA,NA,NA
SAINT PAUL ST,NA,249.46020929378378,NA,NA,NA,NA,NA,NA
SAN MARTIN DR,NA,NA,NA,NA,NA,NA,2258.36667628,NA
SEQUOIA AVE,NA,28.67251115,NA,NA,388.83399138666664,NA,NA,NA
STUART AVE,NA,NA,NA,NA,13.49212208,NA,NA,NA
THE ALAMEDA,NA,NA,NA,NA,NA,NA,158.64266483249997,NA
TRAINOR AVE,NA,NA,NA,NA,NA,NA,335.57315793,NA
TRINITY ST,NA,NA,NA,NA,NA,NA,157.46907569666666,NA
VAN LILL ST,NA,NA,NA,NA,146.8989684,NA,NA,NA
W 33RD ST,NA,191.94480344,NA,NA,NA,NA,NA,NA
W 36TH ST,NA,NA,NA,NA,230.356854285,NA,NA,NA
W 39TH ST,NA,NA,NA,NA,NA,NA,138.64260258636364,NA
W BELVEDERE AVE,NA,213.33981274576922,NA,NA,203.46032480612902,NA,NA,NA
W COLD SPRING LANE,NA,NA,NA,NA,213.62511278076923,NA,NA,NA
W LANVALE ST,NA,NA,140.06773422,NA,NA,NA,NA,NA
W LOMBARD ST,NA,NA,NA,406.3448777333333,NA,NA,NA,NA
W PRATT ST,NA,NA,NA,349.67386284857145,NA,NA,NA,NA
W ROGERS AVE,NA,NA,NA,NA,138.7443156,NA,NA,NA
W UNIVERSITY PKWY,NA,302.6120514419231,NA,NA,351.2164477366667,NA,NA,NA
WABASH AVE,NA,186.82128123357143,NA,NA,317.8128269983333,NA,NA,NA
WALTHER AVE,NA,267.47988336875,NA,NA,NA,NA,NA,NA
WARREN AVE,NA,NA,NA,NA,NA,NA,172.63444476,NA
WHITMAN DR,NA,1085.1336047425,NA,NA,NA,NA,164.10756017,NA
WILLIAM ST,NA,NA,NA,NA,NA,NA,200.0717365177778,NA
WINANS WAY,NA,NA,NA,NA,NA,1848.48484641,NA,NA
WINSTON AVE,NA,NA,NA,NA,NA,NA,261.29254891,NA
WINSTON-ROSSITER,NA,NA,NA,NA,NA,NA,256.83121411,NA
WINSTON-STONEWOOD,NA,NA,NA,NA,NA,NA,262.37189461,NA
WYMAN PARK DR,NA,NA,NA,NA,436.937759465,NA,186.4576124857143,NA
YORK ROAD,NA,NA,NA,NA,NA,NA,66.52652247,NA
NA,435.73787702,695.69831669,NA,NA,62.32223062333333,1024.67462494,1087.9805040033334,NA
