"datetime","city","state","country","shape","duration (seconds)","duration (hours/min)","comments","date posted","latitude","longitude"
"10/10/1949 20:30","san marcos","tx","us","cylinder",2700,"45 minutes","This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit","4/27/2004","29.8830556",-97.9411111
"10/10/1949 21:00","lackland afb","tx",NA,"light",7200,"1-2 hrs","1949 Lackland AFB&#44 TX.  Lights racing across the sky &amp; making 90 degree turns on a dime.","12/16/2005","29.38421",-98.581082
"10/10/1955 17:00","chester (uk/england)",NA,"gb","circle",20,"20 seconds","Green/Orange circular disc over Chester&#44 England","1/21/2008","53.2",-2.916667
"10/10/1956 21:00","edna","tx","us","circle",20,"1/2 hour","My older brother and twin sister were leaving the only Edna theater at about 9 PM&#44...we had our bikes and I took a different route home","1/17/2004","28.9783333",-96.6458333
"10/10/1960 20:00","kaneohe","hi","us","light",900,"15 minutes","AS a Marine 1st Lt. flying an FJ4B fighter/attack aircraft on a solo night exercise&#44 I was at 50&#44000&#39 in a &quot;clean&quot; aircraft (no ordinan","1/22/2004","21.4180556",-157.8036111
"10/10/1961 19:00","bristol","tn","us","sphere",300,"5 minutes","My father is now 89 my brother 52 the girl with us now 51 myself 49 and the other fellow which worked with my father if he&#39s still livi","4/27/2007","36.5950000",-82.1888889
"10/10/1965 21:00","penarth (uk/wales)",NA,"gb","circle",180,"about 3 mins","penarth uk  circle  3mins  stayed 30ft above me for 3 mins slowly moved of and then with the blink of the eye the speed was unreal","2/14/2006","51.434722",-3.18
"10/10/1965 23:45","norwalk","ct","us","disk",1200,"20 minutes","A bright orange color changing to reddish color disk/saucer was observed hovering above power transmission lines.","10/2/1999","41.1175000",-73.4083333
"10/10/1966 20:00","pell city","al","us","disk",180,"3  minutes","Strobe Lighted disk shape object observed close&#44 at low speeds&#44 and low altitude in Oct 1966 in Pell City Alabama","3/19/2009","33.5861111",-86.2861111
"10/10/1966 21:00","live oak","fl","us","disk",120,"several minutes","Saucer zaps energy from powerline as my pregnant mother receives mental signals not to pass info","5/11/2005","30.2947222",-82.9841667
"10/10/1968 13:00","hawthorne","ca","us","circle",300,"5 min.","ROUND &#44 ORANGE &#44 WITH WHAT I WOULD SAY WAS POLISHED METAL OF SOME KIND AROUND THE EDGES .","10/31/2003","33.9163889",-118.3516667
"10/10/1968 19:00","brevard","nc","us","fireball",180,"3 minutes","silent red /orange mass of energy floated by three of us in western North Carolina in the 60s","6/12/2008","35.2333333",-82.7344444
"10/10/1970 16:00","bellmore","ny","us","disk",1800,"30 min.","silver disc seen by family and neighbors","5/11/2000","40.6686111",-73.5275
"10/10/1970 19:00","manchester","ky","us","unknown",180,"3 minutes","Slow moving&#44 silent craft accelerated at an unbelievable angle and speed.","2/14/2008","37.1536111",-83.7619444
"10/10/1971 21:00","lexington","nc","us","oval",30,"30 seconds","green oval shaped light over my local church&#44power lines down..","2/14/2010","35.8238889",-80.2536111
"10/10/1972 19:00","harlan county","ky","us","circle",1200,"20minutes","On october 10&#44 1972 myself&#44my 5yrs.daughter&#442 neices and 2 nephews were playing tag in the back yard .When we looked over on the ridge","9/15/2005","36.8430556",-83.3219444
"10/10/1972 22:30","west bloomfield","mi","us","disk",120,"2 minutes","The UFO was so close&#44 my battery in the car went to zero amps&#44 stalling the engine&#44 turning off my lights and radio.","8/14/2007","42.5377778",-83.2330556
"10/10/1973 19:00","niantic","ct","us","disk",1800,"20-30 min","Oh&#44 what a night &#33  Two (2) saucer-shaped&#44 glowing green objects and one (1) brilliantly glowing sphere gliding over the lake.","9/24/2003","41.3252778",-72.1936111
"10/10/1973 23:00","bermuda nas",NA,NA,"light",20,"20 sec.","saw fast moving blip on the radar scope thin went outside and saw it again.","1/11/2002","32.364167",-64.678611
"10/10/1974 17:00","willow beach","az",NA,"light",120,"2 min","The object was a brillant white light standing out against the bright arizona sky","2/18/2001","0",0
"10/10/1974 19:30","hudson","ma","us","other",2700,"45 minutes","Not sure of the eact month or year of this sighting but it was in the fall of 74 or 75. Was walking home around dusk and saw a bright l","8/10/1999","42.3916667",-71.5666667
"10/10/1974 21:30","cardiff (uk/wales)",NA,"gb","disk",1200,"20 minutes","back in 1974 I was 19 at the time and  lived in a suburb of Cardiff Wales UK called Ely&#44 and in the distance there was a wood called Ca","2/1/2007","51.5",-3.2
"10/10/1974 23:00","hudson","ks","us","light",1200,"one hour?","The light chased us.","7/25/2004","38.1055556",-98.6597222
"10/10/1975 17:00","north charleston","sc","us","light",360,"5-6 minutes","Several Flashing UFO lights over Charleston Naval Base in S.C.","2/14/2008","32.8544444",-79.975
"10/10/1976 20:30","washougal","wa","us","oval",60,"1 minute","Three extremely large lights hanging above nearby trees.","2/7/2014","45.5827778",-122.3522222
"10/10/1976 22:00","stoke mandeville (uk/england)",NA,"gb","cigar",3,"3 seconds","White object over Buckinghamshire UK.","12/12/2009","51.783333",-0.783333
"10/10/1977 12:00","san antonio","tx","us","other",30,"30 seconds","i was about six or seven and my family and me were sitting next to a window at home eating when a type of dark ball hit the screen wind","2/24/2005","29.4238889",-98.4933333
"10/10/1977 22:00","louisville","ky","us","light",30,"approx: 30 seconds","HBCCUFO CANADIAN REPORT:  Pilot Sighting Of Unusual Light.","3/17/2004","38.2541667",-85.7594444
"10/10/1978 02:00","elmont","ny","us","rectangle",300,"5min","A memory I will never forget that happened meny years ago.","2/1/2007","40.7008333",-73.7133333
"10/10/1979 00:00","poughkeepsie","ny","us","chevron",900,"15 minutes","1/4 moon-like&#44  its &#39chord&#39 or flat side parallel to horizon&#44  bright orange-red glow&#44  completely silent&#44 no features.","4/16/2005","41.7002778",-73.9213889
"10/10/1979 22:00","saddle lake (canada)","ab",NA,"triangle",270,"4.5 or more min.","Lights far above&#44  that glance; then flee from the celestrialhavens&#44 only to appear again.","1/19/2005","53.970571",-111.689885
"10/10/1979 22:00","san diego","ca","us","oval",180,"3 minutes","My 2nd UFO sighting&#44 October 1979","8/5/2001","32.7152778",-117.1563889
"10/10/1979 22:00","security","co","us","unknown",1800,"30mins.","very low clouds all different colors&#44search lights were seen shining down out of the clouds on the houses and streets. this event was s","1/28/1999","38.7583333",-104.7425
"10/10/1980 19:00","houston","tx","us","sphere",180,"3 min","Sphere&#44 No lights&#44  moving through neighborhoods above tree tops&#44 over busy streets in Houston in 1980.","4/16/2005","29.7630556",-95.3630556
"10/10/1980 22:00","dallas","tx","us","unknown",300,"5 minutes","Strange shape shifting craft of pure light energy.","10/28/2002","32.7833333",-96.8
"10/10/1980 23:30","manchester","nh","us","light",300,"3 to 5 min","A red glowing sphere stopped and watched me.","11/21/2010","42.9955556",-71.4552778
"10/10/1982 07:00","gisborne (new zealand)",NA,NA,"disk",120,"2min","gisborne nz 1982 wainui beach to sponge bay","1/11/2002","-38.662334",178.017649
"10/10/1984 05:00","houston","tx","us","circle",60,"1 minute","2 experience with unkown","4/18/2012","29.7630556",-95.3630556
"10/10/1984 12:00","traverse city","mi","us","other",120,"couple minutes","translucent football seen over city airport","10/7/2003","44.7630556",-85.6205556
"10/10/1984 22:00","white plains","ny","us","formation",20,"15-20 seconds","Saw a hugh object in sky with lights intermittently placed not making any noise traveling north in the night sky.It had no real identif","8/10/1999","41.0338889",-73.7633333
"10/10/1985 20:25","leeds (uk/england)",NA,"gb","triangle",600,"10min","three light in the sky that led to a big black silent triangle shaped craft.","3/4/2003","53.8",-1.583333
"10/10/1986 20:00","holmes/pawling","ny",NA,"chevron",180,"3 minutes","Football Field Sized Chevron with bright white lights on front&#44 moving slowly with absolutely no sound","10/8/2007","41.523427",-73.646795
"10/10/1987 20:00","manilla (rr#1) (canada)","on",NA,"disk",600,"10/mins","We could clearly see the craft and observed in detail it&#39s structure&#44no sound was made by it and the lights that were flashing were not","8/5/2001","0",0
"10/10/1988 18:00","milwaukee","wi","us","triangle",600,"10 minutes","A silent black triangular object with no lights moved over us as we walked our dog across a school playground.","8/7/2007","43.0388889",-87.9063889
"10/10/1988 21:00","new gloucester","me","us","unknown",120,"few minutes","I&#39m still afraid to look at the sky at night.","1/10/2009","43.9627778",-70.2830556
"10/10/1988 22:00","boulder","co","us","light",60,"1 minute","Three Stars Begin to Move Randomly&#44 Stop&#44 Change Direction&#44 Move Again&#44 And Then Vanish","7/16/2006","40.0150000",-105.27
"10/10/1988 22:45","seattle (ballard area)","wa","us","unknown",2,"2 sec.","Two adult witnesses are stunned by the sound of an object that streaks above the home they are in.","4/27/2004","47.6063889",-122.3308333
"10/10/1989 00:00","calabasas","ca","us","disk",300,"approx 5 min","Unidentified object on Mulholland Highway.","12/14/2004","34.1577778",-118.6375
"10/10/1989 21:00","centralia","wa","us","triangle",60,"1 minute","A huge triangularly shaped silent object that blotted out 25 degrees of the sky&#44 lighted by four glowing points.","4/27/2004","46.7163889",-122.9530556
"10/10/1989 21:00","kranklin","ky",NA,"triangle",180,"3min","Triangle seen in franklin Ky - october 1989","5/11/2005","36.722263",-86.577218
"10/10/1990 20:00","pense (canada)","sa",NA,"unknown",180,"1/2 hr.","i saw something one rainy night&#44 and i&#39ll never forget it as long as i live.","10/12/2001","0",0
"10/10/1990 21:00","ashburn","ga","us","triangle",120,"2 minutes","Translucent Craft that makes No Sound While Moving","10/8/2007","31.7058333",-83.6533333
"10/10/1991 22:00","frisco","nc","us","unknown",1800,"30 minutes","A friend and myself were standing on the shore of the Pamlico sound as we observed 4 objects moving in up and down motions for about 30","1/28/1999","35.2350000",-75.6288889
"10/10/1991 22:00","harrisburg","pa","us","triangle",600,"10 minutes","We observed 3 triangular shaped high speed objects&#33","5/9/2003","40.2736111",-76.8847222
"10/10/1992 17:00","panama city","fl","us","formation",3600,"1 hour(?)","During a road trip to Panama City a friend and I witnessed a pair of luminous light formations appear and dissappear over the Gulf.","1/28/1999","30.1586111",-85.6602778
"10/10/1992 18:00","stafford","tx","us","unknown",10,"10 seconds","A man emerges from a beam of light that shines on a grassy field at night and he runs towards the Texas Instruments parking lot.","4/18/2012","29.6158333",-95.5575
"10/10/1992 20:15","seymour","tn","us","cigar",60,"1min. 39s","Stationary Elongated UFO 200ft above vacant field with city lights on bottom","10/31/2008","35.8905556",-83.7247222
"10/10/1992 22:00","weatherford","tx","us","unknown",30,"30 seconds","Black or dark grey.  Too big&#44 too low&#44 too slow&#44 too quiet&#44 for a normal aircraft.","9/2/2005","32.7591667",-97.7969444
"10/10/1993 03:00","zlatoust (russia)",NA,NA,"sphere",1200,"20 minutes","I woke up at night and looked out the window near my bed. There was a huge sphere of shining light in front of our nine floor apartment","12/14/2004","55.183333",59.65
"10/10/1993 22:00","peoria","il","us","light",8,"8 seconds","Light over Peoria&#44 IL that moves slowly&#44 stops in mid-air&#44 hovers&#44 changes colors&#44 shoots in opposite direction and disappears.","10/11/2005","40.6936111",-89.5888889
"10/10/1993 23:00","carthage","tn","us","other",60,"less than 1 min","1 object with green and red lights","3/21/2003","36.2522222",-85.9516667
"10/10/1994 15:00","mercedies","tx",NA,"cigar",3600,"1 hour","ufo chased by fighter jet over Rio Grande Valley. Seen on news","12/12/2011","26.149798",-97.913611
"10/10/1994 18:30","burnt hills","ny","us","rectangle",120,"2 minutes","Giant rectangular craft (resembling an upside-down aircraft carrier) over highway near Saratoga&#44 NY.","10/23/2013","42.9097222",-73.8955556
"10/10/1994 22:00","pinebergen","ar","us","light",5,"5 seconds","Round&#44 bright&#44 low flying object silently speeds West of Arkansas town at 11:30pm&#44 10/10/94.","2/18/2001","34.1027778",-91.9922222
"10/10/1994 23:00","toronto (greater toronto area) (canada)","on","ca","sphere",3600,"~1 hour","Large rusty sphere","7/3/2013","43.666667",-79.416667
"10/10/1995 17:05","puerto rico (puerto rico)","pr",NA,NA,0,NA,"Woman calls regarding fiance who is having peculiar &quot;flash back&quot; recall of alien type creatures.  Directed to investigator.","11/2/1999","18.220833",-66.590149
"10/10/1995 19:45","milwaukee","wi","us",NA,120,"2 min.","Man  on Hwy 43 SW of Milwaukee sees large&#44 bright blue light streak by his car&#44 descend&#44 turn&#44 cross road ahead&#44 strobe. Bizarre&#33","11/2/1999","43.0388889",-87.9063889
"10/10/1995 22:40","oakland","ca","us",NA,60,"1 minute","Woman repts.  bright light in NW sky&#44 suddenly approaches her&#44 flies slowly overhead.  Swept wings&#44 2 blurry lights either side.","11/2/1999","37.8044444",-122.2697222
"10/10/1996 03:20","higginsville","mo","us","triangle",3,"3sec","illuminated triangular craft&#44 flying at high speed from South to North","2/16/2000","39.0725000",-93.7169444
"10/10/1996 20:00","lake macquarie (nsw&#44 australia)",NA,NA,"light",300,"5 min","RED LIGHT WITH OTHER RED FLASHING LIGHT&#44 ONE OBJECT","5/24/1999","-33.093373",151.588982
"10/10/1996 22:00","charleston","sc","us","light",300,"5 min","Flashing object above Charleston&#44 SC","11/26/2003","32.7763889",-79.9311111
"10/10/1996 22:30","monroe county","oh","us","cylinder",60,"1 minute","Looked like it went through the hillside","7/8/2004","39.4402778",-84.3622222
"10/10/1997 16:00","connersville","in","us","delta",14400,"4 hours","3 differants types &#44 cluster &#44delta &#44 and one in a 3 pointed star design . followed it for six miles .","1/28/1999","39.6411111",-85.1411111
"10/10/1997 17:00","mesa","az","us","sphere",30,"30 seconds","A small dark purple quad-thruster craft hovering 200-300 feet in the sky. 500 Lights On Object0: Yes","2/14/2008","33.4222222",-111.8219444
"10/10/1997 20:00","bonaire","ga","us","triangle",300,"<5 minutes","Triangular Object Sighted at Very Close Range","2/1/2007","32.5436111",-83.5961111
"10/10/1997 21:00","austin","mn","us","other",3600,"1-hour","i was traveling northbound on state highway 105 approximately 8 miles south of Austin MN when an object came down directly above my car","1/28/1999","43.6666667",-92.9744444
"10/10/1998 02:00","turin (italy)",NA,NA,"disk",15,"15 sec","We were doing a patrol during the night&#44me and my friend were on guard duty in a military camp wich was a big field in the middle of a","1/19/2005","0",0
"10/10/1998 02:30","hollywood","ca","us","changing",300,"5 minutes","I was standing outside on Sunset Blvd. at Vine and looked straight up which I normally do not do. I saw three bright white lights in a","11/1/1998","34.0983333",-118.3258333
"10/10/1998 03:30","phoenix (north part)","az","us","fireball",15,"10 to 15 sec","bright green moving north to north east. it was bright green and kinda clear. quite fast too.","2/16/1999","33.4483333",-112.0733333
"10/10/1998 13:15","elgin","il","us","cylinder",1800,"30 +/- min","While looking up at sky I noticed a bright light hovering above the sky. then I noticed a jet airliner traveling in the same area and I","11/1/1998","42.0372222",-88.2811111
"10/10/1998 17:30","las vegas","nv","us","cigar",600,"10 minutes","White&#44 vertical cigar shape floating around in the eastern sky.","11/1/1998","36.1750000",-115.1363889
"10/10/1998 17:30","las vegas","nv","us","circle",2700,"45min.","Ufo sighting in las vegas near Area51","8/30/1999","36.1750000",-115.1363889
"10/10/1998 20:30","nyc/westchester area","ny",NA,"triangle",60,"< 1 min","Lights over NYC","10/30/2006","40.935998",-73.901708
"10/10/1998 20:30","spokane (about 30 miles sw of&#44i-90&#44 maybe mm 254)","wa","us","triangle",600,"10 minutes","Dark boomerange object seen for ten minutes hovering over the freeway with a bright light out the front that lit up the fields. No jet","8/5/2001","47.6588889",-117.425
"10/10/1998 20:50","mooresville","nc","us","light",2,"2 seconds","Star gazing in back yard with telescope and binos. Saw shooting star and an oblong shape of light.","11/1/1998","35.5847222",-80.8102778
"10/10/1998 22:30","st. john&#39s (canada)","nf","ca","egg",7200,"2 hours","Started off as 3 points of intense yellow light in triangle formation - then grew larger - it becage a single egg shape - VERY bright.","12/2/2000","47.55",-52.666667
"10/10/1998 23:50","delano","tn","us","fireball",15,"15 seconds","I came home from work one night and I seen a bright fire like ball go across the top ofthe mountain and it was going fast then it stopp","3/21/2003","35.2650000",-84.5533333
"10/10/1999 00:01","martinez","ca","us","changing",3600,"1 hour","Bright objects&#44 red and green flashing lights (and a diffuse white light off to one side of the larger of the two objects)&#44 about 30 de","10/19/1999","38.0194444",-122.1330556
"10/10/1999 03:00","st. agnes de dundee (canada)","pq",NA,"egg",5400,"90 min.","early morning bright object egg shape fully colorder chaging colors as it turn as it was going it change to white colors","12/2/2000","0",0
"10/10/1999 04:00","kansas city","ks","us","unknown",600,"5-10 min.","Orange object over city.","10/19/1999","39.1141667",-94.6272222
"10/10/1999 06:00","dallas","tx","us","other",10,"10 seconds","group of   twinkling lights at high altitude","11/20/2001","32.7833333",-96.8
"10/10/1999 11:00","san diego","ca","us","fireball",3600,"1 hour","At 10:45 in the morning&#44 my father and I noticed a small stationary object in the sky.","10/19/1999","32.7152778",-117.1563889
"10/10/1999 12:40","kennewick","wa","us","sphere",45,"45 secs","Standing outside saying goodby to family members and pointing to Chem-Trails","10/19/1999","46.2113889",-119.1361111
"10/10/1999 20:35","hayward","ca","us","circle",90,"60-90 sec","Many different colored glowing  objects","11/20/2001","37.6688889",-122.0797222
"10/10/1999 21:00","ashland (at our home)","mo","us","light",0,"two seperate times&#44 10 se","We saw on our local news that in Jefferson City&#44(20 minutes from our home)&#44 a craft was spotted reciently. We have not actually observe","12/16/1999","38.7744444",-92.2569444
"10/10/1999 21:00","rachel","nv","us","light",10800,"3 hours","Bright lights with incredible agility seen from mailbox at Area 51 on UFO highway in Nevada for several hourse.","5/24/2005","37.6447222",-115.7427778
"10/10/1999 21:30","humphrey","ne","us","sphere",300,"5 min","Object moving erratically in sky stopped by spot light","2/14/2006","41.6916667",-97.4841667
"10/10/1999 22:00","dorset (uk/england)",NA,NA,"flash",1,"<1 second","Whilst out late night cycling (as i have done so for many years and am a hardy fellow);I paused at the cliff tops of our local beach&#44(a","2/14/2006","0",0
"10/10/1999 22:30","casey key (north end of)","fl",NA,"triangle",120,"several minutes","A large trianglual shaped craft flew from horizon to horizon as observed from the stern deck of a motor vessel","9/19/2002","27.150053",-82.480653
"10/10/1999 22:30","elgin","or","us","chevron",240,"4 minutes","Object silently traveled north -northwest. It was V shaped with five orange lights on the perimeter and one white ligh in the center of","10/19/1999","45.5650000",-117.9163889
